Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Cyma;Quartz;Yellow gold;Leather;;Like new & unworn;No original box, no original papers;Women's watch;335.0;Item is in stock;Circular;341.573125;;;Champagne;Brown;Buckle;2998.0;9673.0;1;1;1;2049.0
Furlan Marri;Quartz;;Leather;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;807.0;Item is in stock;Circular;566.77;;;;Blue;;;;0;0;0;
Seiko;Automatic;Steel;;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;2475.0;Item is in stock;Circular;669.4833249999999;20.0;Sapphire crystal;Blue;Blue;Buckle;219.0;177.0;1;1;1;144.0
Poljot;Manual winding;Steel;Leather;;Used (Good);No original box, no original papers;;246.0;Item is in stock;Circular;307.72;;;;;;2045.0;2307.0;1;1;1;1428.0
Dewitt;Automatic;Rose gold;Rubber;2010.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;7500.0;Item needs to be procured;Circular;725.7325000000001;3.0;Sapphire crystal;White;White;Fold clasp;89.0;677.0;0;1;1;69.0
Breguet;Automatic;Steel;Steel;2005.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;5295.0;Item is in stock;Rectangular;1817.0;10.0;Sapphire crystal;Black;Steel;;1296.0;162.0;1;1;1;874.0
Junghans;Automatic;Steel;Leather;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;;;Circular;566.77;;;Silver;Black;Buckle;;;0;0;0;
Tecnotempo;Automatic;Steel;Leather;2011.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;454.0;Item is in stock;Circular;17309.25;;;Black;Black;;;;0;0;0;
U-Boat;Quartz;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1000.0;Item is in stock;;;;;Black;;;3529.0;1250.0;0;1;1;2421.0
Yema;;Steel;Steel;2020.0;Used (Fair);Original box, original papers;Men's watch/Unisex;647.0;Item is in stock;Circular;596.9925000000001;;;Black;Steel;;;;0;0;0;
;;;;;;;;;;;;;;;;;;;0;0;0;
Mühle Glashütte;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;3349.0;Item needs to be procured;Circular;712.2933000000002;10.0;Sapphire crystal;Silver;Brown;Buckle;4181.0;2059.0;1;1;1;2862.0
Gucci;Quartz;Gold/Steel;Leather;1993.0;Used (Good);No original box, no original papers;Women's watch;295.0;Item is in stock;Rectangular;800.0;;Sapphire crystal;Champagne;Black;Buckle;1390.0;1103.0;1;1;1;860.0
Victorinox Swiss Army;Quartz;Steel;Rubber;;New;No original box, no original papers;;505.0;Item is in stock;Circular;537.3325;20.0;;Pink;Pink;;445.0;498.0;1;0;1;218.0
Ulysse Nardin;Automatic;Carbon;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;18299.0;Item needs to be procured;Circular;692.37;5.0;Sapphire crystal;Skeletonized;Black;Buckle;522.0;870.0;1;1;1;375.0
Corum;Automatic;Steel;Rubber;2023.0;New;Original box, original papers;Men's watch/Unisex;4220.0;Item is in stock;Circular;628.0;;;White;;;178.0;1739.0;1;1;1;135.0
Luminox;Quartz;Steel;Rubber;2022.0;New;Original box, original papers;Men's watch/Unisex;782.0;Item is in stock;Circular;759.88;20.0;Sapphire crystal;Black;Orange;Fold clasp;2139.0;172.0;1;0;1;1488.0
Fendi;Quartz;Steel;Steel;;;Original box, original papers;;375.0;Item is in stock;Circular;659.7925;;;Black;Silver;;1174.0;1041.0;1;1;1;960.0
Hamilton;Manual winding;;Textile;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;;;Circular;566.77;;;;Green;;;;0;0;0;
Louis Erard;Automatic;Steel;Steel;;Like new & unworn;Original box, original papers;;1226.0;Item is in stock;Circular;628.0;5.0;Sapphire crystal;Silver;Steel;Fold clasp;1408.0;712.0;0;0;1;958.0
Concord;Manual winding;Rose gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;6169.0;Item is in stock;Rectangular;1225.5;;Sapphire crystal;Black;Brown;Buckle;17.0;13.0;1;1;1;14.0
Van Der Bauwede;Automatic;;;2008.0;Used (Good);Original box, no original papers;Men's watch/Unisex;8427.0;Item is in stock;;;;;;;;;;0;0;0;
Stowa;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;1026.0;Item is in stock;Circular;628.0;5.0;Sapphire crystal;Black;Brown;Buckle;;;0;0;0;
F.P.Journe;Manual winding;;Leather;2013.0;Used (Good);Original box, original papers;Men's watch/Unisex;57500.0;Item is in stock;Circular;628.0;;;;Black;;;;0;0;0;
F.P.Journe;Manual winding;;;;;Original box, no original papers;Men's watch/Unisex;233926.0;Item needs to be procured;Circular;659.7925;;;Grey;;;1640.0;2239.0;0;1;1;1206.0
Laco;Automatic;Steel;Leather;;New;Original box, original papers;Men's watch/Unisex;367.0;Item is in stock;Circular;596.9925000000001;5.0;Sapphire crystal;Black;Brown;Buckle;2328.0;2505.0;0;1;1;1742.0
Michele;Quartz;Steel;Leather;;Used (Very good);Original box, original papers;Women's watch;449.0;Item is in stock;Circular;508.68;;;Blue;Blue;;14.0;224.0;1;1;1;
Alpina;;Steel;Leather;2019.0;Like new & unworn;Original box, original papers;;853.0;Item needs to be procured;Circular;759.88;;Sapphire crystal;Black;Black;;476.0;122.0;0;1;1;370.0
Ulysse Nardin;Automatic;Steel;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;7985.0;Item is in stock;Circular;715.641325;20.0;Sapphire crystal;Black;Black;Double-fold clasp;545.0;2782.0;0;1;1;371.0
Favre-Leuba;Automatic;Steel;Steel;;Used (Good);No original box, no original papers;Men's watch/Unisex;627.0;Item is in stock;Circular;566.77;;;;Steel;;1005.0;223.0;0;1;1;634.0
Bedat & Co;Automatic;Steel;Leather;;New;Original box, original papers;Women's watch;3495.0;Item is in stock;Circular;522.908125;;;;;;1604.0;1677.0;1;1;1;1147.0
Corum;;Titanium;;;Used (Good);No original box, no original papers;;3900.0;Item is in stock;Circular;904.32;;;Black;;;171.0;151.0;1;1;1;108.0
Locman;Automatic;;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;594.0;Item is in stock;Rectangular;616.0;;;;White;;;;0;0;0;
A. Lange & Söhne;;;;;;No original box, no original papers;;7500.0;Item is in stock;;;;;White;;;347.0;134.0;1;1;1;205.0
ck Calvin Klein;Quartz;;Steel;;Like new & unworn;No original box, no original papers;Women's watch;177.0;Item is in stock;Rectangular;780.0;;;;Gold;;;;0;0;0;
Mondaine;Quartz;;;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;249.0;Item is in stock;Circular;725.7325000000001;;;Black;;;;;0;0;0;
Timex;Quartz;;Textile;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;216.0;Item is in stock;;;3.0;;Black;;Buckle;;;0;0;0;
Tutima;Automatic;Titanium;Titanium;2018.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;1441.0;Item is in stock;Rectangular;1848.0;30.0;Sapphire crystal;Black;Grey;Double-fold clasp;158.0;121.0;1;1;1;129.0
Frederique Constant;Automatic;Steel;Steel;2020.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;750.0;Item is in stock;Circular;628.0;;;Green;Silver;;;;0;0;0;
Heuer;Automatic;Steel;Steel;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;3999.0;Item is in stock;Circular;692.37;;;Blue;Steel;;;;0;0;0;
Swiss Military;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;269.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Green;Gold;Fold clasp;14626.0;5551.0;1;1;1;7424.0
Edox;Automatic;Steel;Rubber;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;863.0;Item is in stock;Circular;759.88;100.0;Sapphire crystal;Blue;Black;Buckle;;;0;0;0;
Garmin;Solar;;;2023.0;New;Original box, original papers;;3151.0;Item needs to be procured;Circular;830.5300000000001;;;Black;;;7714.0;4802.0;1;1;1;5170.0
Rado;Automatic;Steel;Steel;;Used (Very good);Original box, original papers;;1495.0;Item is in stock;Circular;596.9925000000001;5.0;;Black;Steel;;615.0;417.0;1;0;1;527.0
Spinnaker;Automatic;Steel;Calf skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;198.0;Item is in stock;Circular;692.37;10.0;Mineral Glass;Black;Brown;Buckle;14626.0;5551.0;1;1;1;7424.0
Glycine;Automatic;White gold;Crocodile skin;;Used (Very good);No original box, no original papers;Women's watch;1200.0;Item is in stock;Circular;157.0;;Glass;Champagne;Brown;Buckle;1461.0;345.0;1;1;1;1007.0
Bovet;Manual winding;White gold;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;82950.0;Item is in stock;Circular;759.88;3.0;;Black;Black;Buckle;3087.0;1595.0;0;1;1;2339.0
Yema;Automatic;Steel;Leather;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;821.0;Item is in stock;Circular;596.9925000000001;30.0;Sapphire crystal;;Black;Buckle;11.0;25.0;1;0;1;10.0
Enicar;Automatic;Steel;Leather;;Used (Fair);No original box, no original papers;Men's watch/Unisex;1574.0;Item is in stock;Rectangular;1271.0;;Plexiglass;;Brown;;215.0;50.0;0;1;1;196.0
Christopher Ward;Automatic;;Steel;2021.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;907.0;Item is in stock;Circular;628.0;;;Black;Steel;;;;0;0;0;
Pryngeps;Quartz;Steel;Leather;;Like new & unworn;Original papers, no original box;Men's watch/Unisex;313.0;Item is in stock;Rectangular;1886.0;;Plexiglass;White;Steel;Fold clasp;270.0;164.0;0;1;1;208.0
Ublast;Quartz;Steel;Steel;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;357.0;Item is in stock;Circular;725.7325000000001;;;White;Steel;;;;0;0;0;
Meistersinger;Automatic;Steel;Leather;2022.0;New;Original box, original papers;Men's watch/Unisex;2099.0;Item is in stock;Circular;725.7325000000001;5.0;Sapphire crystal;Blue;Blue;Buckle;1461.0;345.0;1;1;1;1007.0
Perseo;Manual winding;Steel;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;238.0;Item is in stock;Circular;508.68;;;;Steel;;;;0;0;0;
F.P.Journe;;;;2024.0;Used (Very good);Original box, original papers;;78110.0;Item is in stock;Rectangular;1920.0;;;Black;;;23.0;129.0;0;1;1;19.0
IWC;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;6749.0;Item is in stock;Circular;659.7925;10.0;Sapphire crystal;Blue;Steel;Fold clasp;28.0;40.0;1;1;1;23.0
Victorinox Swiss Army;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;420.0;Item is in stock;;;;;Black;;;219.0;177.0;1;1;1;144.0
Franck Muller;Quartz;White gold;Leather;2024.0;New;Original box, original papers;Women's watch;6154.0;Item is in stock;;;;;White;;;32.0;44.0;1;1;1;22.0
Chopard;;;;;Used (Good);Original box, no original papers;;8595.0;Item is in stock;;;;;;;;7.0;60.0;0;0;1;6.0
Roger Dubuis;Manual winding;;;;Used (Very good);Original box, original papers;Men's watch/Unisex;69500.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Blue;;Buckle;955.0;512.0;0;0;1;807.0
Pulsar;Quartz;Steel;Leather;;Used (Good);No original box, no original papers;Women's watch;40.0;Item is in stock;Circular;551.953125;;;;Black;Buckle;545.0;2782.0;0;1;1;371.0
Mondaine;;;;;New;Original box, original papers;;279.0;Item is in stock;;;;;;;;36.0;111.0;1;1;1;20.0
Shinola;Automatic;Steel;Leather;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;2200.0;Item is in stock;Circular;759.88;;;Green;Beige;;;;0;0;0;
Carl F. Bucherer;Automatic;Steel;;;New;Original box, no original papers;;1895.0;Item is in stock;Circular;596.9925000000001;3.0;Sapphire crystal;Silver;;Fold clasp;1101.0;413.0;1;1;1;659.0
Laco;Automatic;Steel;Textile;2023.0;New;Original box, original papers;Men's watch/Unisex;1970.0;Item is in stock;Circular;725.7325000000001;20.0;Sapphire crystal;Grey;Grey;Buckle;73.0;45.0;0;0;1;53.0
Victorinox Swiss Army;Quartz;;Steel;2024.0;New;Original box, original papers;;466.0;Item is in stock;Circular;307.72;10.0;Sapphire crystal;Brown;Steel;;732.0;3496.0;0;1;1;410.0
Casio;;;;2022.0;New;Original box, original papers;Men's watch/Unisex;;Item available on request;Rectangular;2416.86;;Sapphire crystal;Black;Black;;576.0;331.0;1;1;1;319.0
Porsche Design;Automatic;Steel;Steel;;Used (Very good);No original box, no original papers;Men's watch/Unisex;7282.0;Item is in stock;;;;;Black;;;403.0;61.0;0;1;1;298.0
Squale;Automatic;Steel;Rubber;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;853.0;Item is in stock;Circular;628.0;;;Black;Black;;;;0;0;0;
Meistersinger;Automatic;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;1399.0;Item is in stock;Circular;566.77;5.0;Sapphire crystal;Blue;Brown;Buckle;680.0;224.0;1;1;1;476.0
Citizen;Quartz;Titanium;Rubber;;New;Original box, original papers;Men's watch/Unisex;1397.0;Item is in stock;Circular;1081.828125;100.0;Sapphire crystal;Black;Black;Buckle;82.0;158.0;0;0;1;48.0
Terra Cielo Mare;Automatic;Steel;Leather;2009.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;810.0;Item is in stock;Circular;830.5300000000001;;;Black;;;1580.0;828.0;0;1;1;1115.0
Vulcain;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1469.0;Item is in stock;Circular;566.77;20.0;Sapphire crystal;Blue;Black;Buckle;5034.0;854.0;0;1;1;3907.0
Dubey & Schaldenbrand;Automatic;;;1997.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2580.0;Item is in stock;Circular;566.77;;;;;;;;0;0;0;
Bulova;;;;;Used (Very good);Original box, original papers;Men's watch/Unisex;249.0;Item is in stock;Circular;759.88;;;Blue;;;14.0;224.0;1;1;1;
Edox;;Ceramic;Rubber;;Used (Good);Original box, original papers;;537.0;Item is in stock;Circular;794.8125;;;;;;81.0;74.0;1;1;1;56.0
Perrelet;Automatic;Steel;Steel;2001.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1729.0;Item is in stock;Circular;522.908125;3.0;Sapphire crystal;White;Steel;Double-fold clasp;;;0;0;0;
Elgin;Manual winding;;;1900.0;Used (Good);No original box, no original papers;Men's watch/Unisex;431.0;Item is in stock;Circular;1187.3125;;;White;;;1431.0;1140.0;0;0;1;1031.0
Edox;Quartz;;Rubber;;Used (Good);Original box, original papers;Women's watch;329.0;Item is in stock;Circular;596.9925000000001;;;Brown;;;17847.0;12116.0;1;1;1;12521.0
M.A.D. Editions;Automatic;Steel;Leather;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;4213.0;Item is in stock;Rectangular;789.6;;;;Black;;;;0;0;0;
Oris;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;2399.0;Item is in stock;Circular;742.708125;30.0;Sapphire crystal;Green;Steel;Fold clasp;1170.0;325.0;1;1;1;667.0
Steinhart;Automatic;Steel;Silicon;2018.0;New;Original box, original papers;Men's watch/Unisex;829.0;Item is in stock;Circular;692.37;30.0;Sapphire crystal;Blue;Blue;Buckle;411.0;234.0;1;1;1;270.0
Festina;Quartz;Steel;Steel;1980.0;Used (Good);No original box, no original papers;Men's watch/Unisex;70.0;Item is in stock;Circular;794.8125;;;;Steel;Double-fold clasp;;;0;0;0;
Porsche Design;Automatic;Titanium;Rubber;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3122.0;Item is in stock;Circular;692.37;;Sapphire crystal;Black;Black;Double-fold clasp;347.0;90.0;1;1;1;293.0
Omega;Manual winding;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;8190.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;White;Steel;Fold clasp;21.0;60.0;1;1;1;12.0
Frederique Constant;Automatic;Steel;Leather;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2274.0;Item is in stock;Circular;692.37;;;Silver;Blue;Fold clasp, hidden;114.0;137.0;0;1;1;92.0
Hanhart;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2150.0;Item needs to be procured;Circular;692.37;10.0;Sapphire crystal;Black;Black;Buckle;1072.0;1397.0;1;1;1;940.0
Sicura;;;Leather;;Like new & unworn;No original box, no original papers;Women's watch;421.0;Item is in stock;Circular;307.72;;Plexiglass;;;Buckle;2998.0;9673.0;1;1;1;2049.0
TAG Heuer;Smartwatch;Steel;Rubber;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;;;Circular;794.8125;5.0;Sapphire crystal;;Green;Fold clasp, hidden;397.0;51.0;1;1;1;285.0
NOMOS;Manual winding;Steel;Leather;2010.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1404.0;Item is in stock;;;;Sapphire crystal;Silver;;Buckle;663.0;178.0;1;1;1;535.0
Alfred Dunhill;Manual winding;Steel;;;Used (Fair);No original box, no original papers;Men's watch/Unisex;1349.0;Item is in stock;Circular;566.77;;;White;;;179.0;102.0;1;1;1;139.0
Girard Perregaux;Automatic;Gold/Steel;Leather;1994.0;Used (Good);No original box, no original papers;Men's watch/Unisex;1567.0;Item is in stock;Circular;566.77;3.0;Sapphire crystal;White;Black;Buckle;28.0;41.0;1;1;1;25.0
Ingersoll;Automatic;;Leather;2020.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;270.0;Item is in stock;Circular;628.0;;;;Brown;;;;0;0;0;
Fendi;Quartz;Gold-plated;Leather;1990.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;281.0;Item is in stock;Rectangular;600.0;;;Blue;Black;Buckle;;;0;0;0;
Alpina;Quartz;;;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;735.0;Item is in stock;Rectangular;1196.8000000000002;;;;;;;;0;0;0;
Citizen;;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;305.0;Item is in stock;Circular;830.5300000000001;20.0;Mineral Glass;Blue;Silver;Fold clasp;576.0;331.0;1;1;1;319.0
Certina;Manual winding;Steel;Leather;1940.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;810.0;Item is in stock;Circular;445.7583250000001;;Plexiglass;Pink;Brown;Buckle;5.0;42.0;1;0;1;
Favre-Leuba;Automatic;Steel;Steel;1960.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1424.0;Item is in stock;;;;;Brown;;;28.0;49.0;0;1;1;26.0
Frederique Constant;Quartz;Steel;;;Like new & unworn;Original box, no original papers;Women's watch;1150.0;Item is in stock;;;3.0;Sapphire crystal;;Blue;Buckle;1369.0;884.0;1;0;1;939.0
Grönefeld;Manual winding;Steel;;2021.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;126129.0;Item is in stock;;;;;Silver;;;37.0;22.0;1;0;1;32.0
Cuervo y Sobrinos;Automatic;Steel;Leather;;New;Original box, original papers;Men's watch/Unisex;1750.0;Item needs to be procured;Circular;628.0;3.0;Sapphire crystal;;Brown;;1736.0;930.0;1;1;1;1374.0
Poljot;Manual winding;Steel;Leather;2015.0;New;Original box, original papers;Men's watch/Unisex;323.0;Item is in stock;Circular;725.7325000000001;5.0;Mineral Glass;Black;Black;;2053.0;483.0;1;1;1;1420.0
Vulcain;Automatic;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;2042.0;Item needs to be procured;Circular;566.77;20.0;Sapphire crystal;Blue;Grey;;3108.0;737.0;0;1;1;2199.0
Minerva;Manual winding;Steel;Leather;1965.0;Used (Good);No original box, no original papers;Men's watch/Unisex;3750.0;Item is in stock;Circular;508.68;;;Silver;Blue;Buckle;57.0;18.0;0;1;1;42.0
Maurice de Mauriac;Automatic;Steel;Textile;;New;Original box, original papers;Men's watch/Unisex;4829.0;Item available on request;Circular;692.37;10.0;Sapphire crystal;;;Buckle;566.0;994.0;1;1;1;448.0
Harry Winston;Automatic;White gold;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;39995.0;Item is in stock;;;;;Black;;;545.0;2782.0;0;1;1;371.0
Chronoswiss;Automatic;Steel;Leather;1998.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;3986.0;Item is in stock;Circular;566.77;;Sapphire crystal;Silver;Black;Buckle;1739.0;332.0;1;1;1;1261.0
Spinnaker;Automatic;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;528.0;Item is in stock;Circular;794.8125;;Sapphire crystal;Black;Silver;Fold clasp;14626.0;5551.0;1;1;1;7424.0
Venezianico;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;;Item needs to be procured;Circular;508.68;5.0;Sapphire crystal;Green;Steel;Double-fold clasp;816.0;338.0;1;1;1;670.0
Movado;Quartz;;;;Like new & unworn;No original box, no original papers;Women's watch;650.0;Item is in stock;Rectangular;705.0;3.0;Sapphire crystal;Mother of pearl;;Fold clasp;545.0;2782.0;0;1;1;371.0
Jaeger-LeCoultre;Manual winding;Steel;Leather;2017.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;9999.0;Item is in stock;Rectangular;1477.06;3.0;Sapphire crystal;Silver;Black;Fold clasp;2946.0;279.0;1;1;1;2094.0
